Exchange Date,Nasdaq,DJI,CSI300,SSEC,FTSE100,FTSE250,CAC40,DAX,year,month
2012-09-28,13437.13,3116.23,364.906032685667,331.975716490826,9281.46316231855,18966.9608508712,4313.60497859153,9278.4771064508,2012,9
2012-10-08,13583.65,3112.35,361.048128002036,329.93277030251,9361.91285116749,19190.4197182647,4417.9257395567,9455.9637905767,2012,10
2012-10-09,13473.53,3065.02,369.005184808193,336.412860232838,9296.99500768049,19060.0358422939,4358.35394763965,9320.92609771179,2012,10
2012-10-10,13344.97,3051.78,369.899731024494,337.403877067053,9244.51094610167,18928.9463577007,4333.21746742879,9276.00545857147,2012,10
2012-10-11,13326.39,3049.41,366.849836692424,335.038301601211,9353.19032873946,19089.6532914053,4412.60033866319,9412.38059537507,2012,10
2012-10-12,13328.85,3044.11,367.72474868358,335.87557044838,9309.82837307964,19024.0084849264,4388.86298886301,9366.08391608395,2012,10
2012-10-15,13424.23,3064.18,366.005901116428,334.721419457736,9328.52896280228,19049.8433357435,4428.57882742906,9401.86710171953,2012,10
2012-10-16,13551.78,3101.17,366.901671535993,335.07481201207,9457.47748618561,19308.394954328,4569.40365715179,9627.45865800014,2012,10
2012-10-17,13557,3104.12,367.875381737364,336.667268918984,9544.96423207973,19451.7415666834,4627.01837690361,9699.42416411981,2012,10
2012-10-18,13548.94,3072.87,373.766339738563,341.064590966544,9492.79663736121,19366.0559584162,4618.73530180298,9716.78860726418,2012,10
2012-10-19,13343.51,3005.62,372.998256920347,340.348615930789,9435.65164511588,19322.589937268,4563.28858448677,9610.33346788367,2012,10
2012-10-22,13345.89,3016.96,374.397134771277,341.006603456821,9419.73964421247,19278.5134421085,4548.74895528625,9569.6432302549,2012,10
2012-10-23,13102.53,2990.46,370.062582028875,338.43059957105,9248.2453901614,18967.5078159892,4423.33662286396,9315.02882667634,2012,10
2012-10-24,13077.34,2981.7,369.374659880278,338.677598514678,9308.49903784477,19022.8672225786,4444.50353460017,9329.85277903885,2012,10
2012-10-25,13103.68,2986.12,367.091611125352,336.705251858497,9355.43916196615,19294.3593875906,4412.10780890304,9312.00693205041,2012,10
2012-10-26,13107.21,2987.95,359.780249679899,330.699295774649,9350.5797101449,19204.3961352656,4444.647154724,9357.25745930697,2012,10
2012-10-31,13096.46,2977.23,361.511575707048,331.700105816712,9326.33378491709,19248.6775046771,4443.67127973876,9408.37350334316,2012,10
2012-11-01,13232.62,3020.06,368.291955828378,337.285849374129,9455.31969804501,19504.2099490289,4497.8516332764,9493.80079722527,2012,11
2012-11-02,13093.16,2982.13,369.598320862641,339.199541762133,9403.22063771829,19421.2946643166,4482.91530819191,9452.22447565012,2012,11
2012-11-05,13112.44,2999.66,368.583872414013,338.50425927112,9329.0621505033,19221.0576769453,4412.32918777829,9374.16193254517,2012,11
2012-11-06,13245.68,3011.93,367.023088993499,337.208009094693,9412.82789507359,19324.296225208,4457.19191246187,9453.0917663941509,2012,11
2012-11-07,12932.73,2937.29,366.381837110596,337.267606310564,9257.27666512155,19118.8402090692,4354.02061065776,9236.26913892397,2012,11
2012-11-08,12811.32,2895.58,359.684911977189,331.829048328447,9230.16075937229,19009.3323532231,4343.09602100381,9182.73814075607,2012,11
2012-11-09,12815.39,2904.87,358.834907926342,331.315740592475,9169.72076095422,18821.0931167655,4350.65001080173,9103.3282078001,2012,11
2012-11-12,12815.08,2904.25,361.504551219277,333.799987157053,9154.97809384721,18736.5864499333,4335.17160755809,9109.31801720521,2012,11
2012-11-13,12756.18,2883.89,355.354963058143,328.925265017668,9182.19182429861,18720.9914942237,4357.53480337363,9106.18839548825,2012,11
2012-11-14,12570.95,2846.81,357.126104417672,330.187759036146,9063.1345529421,18561.2576225548,4329.58105182734,9043.57570355282,2012,11
2012-11-15,12542.38,2836.94,351.942594939756,325.737569991498,9007.72623429372,18535.8230739942,4322.00357781752,9000.02555583948,2012,11
2012-11-16,12588.31,2853.13,349.174070628989,323.110754723033,8903.41486658195,18387.833545108,4257.74391253935,8856.32191231,2012,11
2012-11-19,12795.96,2916.07,348.868375465161,323.524653535224,9126.37388856196,18681.3691962653,4406.44136411386,9126.34195085705,2012,11
2012-11-20,12788.51,2916.68,347.359123291189,322.335440600733,9154.48319796145,18825.9754738015,4437.00257603138,9192.95884757842,2012,11
2012-11-21,12836.89,2926.55,352.310754414125,325.893884430176,9174.47684062781,18794.3728467526,4460.78456525645,9216.60209867361,2012,11
2012-11-23,13009.68,2966.85,352.056131787676,325.516906971517,9328.08617732397,19057.9645095619,4578.6352843482,9483.63197571071,2012,11
2012-11-26,12967.37,2976.78,349.476972997286,324.075032528553,9273.29252267554,18979.5198871831,4541.42614380781,9459.23542917928,2012,11
2012-11-27,12878.13,2967.79,345.645039456131,320.014962793911,9291.13133190221,19011.2139950658,4533.14952883917,9490.95215905558,2012,11
2012-11-28,12985.11,2991.78,341.907568288022,316.914730300451,9292.23576129251,19039.2935487487,4552.52933405859,9510.46442355013,2012,11
2012-11-29,13021.82,3012.03,339.69846341581,315.26274465728,9415.37819978185,19289.4238788734,4631.36038619759,9604.27724211318,2012,11
2012-11-30,13025.58,3010.24,343.637838271902,318.014486469123,9392.77309040844,19266.7744672676,4618.76444467529,9615.28473863256,2012,11
2012-12-03,12965.6,3002.2,338.624211185509,314.685517927966,9445.67071012582,19349.7860291515,4655.45417759852,9705.14678048845,2012,12
2012-12-04,12951.78,2996.69,342.383300671443,317.271725511614,9449.7327236427,19406.9363045019,4687.90342642418,9734.7630831271,2012,12
2012-12-05,13034.49,2973.7,354.673499220897,326.405503526048,9483.92808279813,19481.2400405621,4691.31769778531,9740.05357026195,2012,12
2012-12-06,13074.04,2989.27,353.810410712566,325.814408657397,9470.60805931347,19497.1033331729,4670.249873572,9770.01776475316,2012,12
2012-12-07,13155.13,2978.04,360.640941267116,330.95007945553,9484.2847979474,19543.8742783836,4659.91599353798,9716.05815831991,2012,12
2012-12-10,13169.88,2986.96,363.652463531409,333.664745160206,9518.4691056388,19575.2427184466,4674.04244306418,9744.97929606625,2012,12
2012-12-11,13248.44,3022.3,361.591418507845,332.165177713737,9547.47172000384,19643.8493022656,4741.47908295298,9869.76423620596,2012,12
2012-12-12,13245.45,3013.81,362.8311094045,333.225560782055,9600.76536790943,19738.5961796192,4766.9381299102,9954.10397521538,2012,12
2012-12-13,13170.72,2992.16,359.88108992875,330.809984594646,9552.02409910273,19671.6497253411,4763.75594957895,9914.19530310162,2012,12
2012-12-14,13135.01,2971.33,377.48197404262,344.596234577791,9572.53241084997,19792.8292004785,4794.92511384275,9997.72314495537,2012,12
2012-12-17,13235.39,3010.6,379.522129570237,346.430708787684,9578.83054389916,19796.4712172518,4788.8009898514,10010.3197272644,2012,12
2012-12-18,13350.96,3054.53,379.981386990147,346.98249414332,9645.90984432385,19976.6810751081,4826.74092496561,10124.8544819558,2012,12
2012-12-19,13251.97,3044.36,380.638113431686,347.107797023743,9684.03697145919,20146.5375806111,4846.76427409435,10142.3111005304,2012,12
2012-12-20,13311.72,3050.39,382.813939676068,348.066953464854,9698.45041994924,20220.6686633245,4855.50273448364,10159.4342995617,2012,12
2012-12-21,13190.84,3021.01,380.836490912593,345.724407552501,9604.95124751389,19989.9422731757,4827.54074152207,10068.3376404198,2012,12
2012-12-27,13096.31,2985.91,392.025722441388,353.747265787871,9584.69487951322,19956.6666130097,4862.89820929894,10132.5886416877,2012,12
2012-12-28,12938.11,2960.31,397.998651966685,358.392598655177,9580.07146206205,19983.0722219528,4783.81806889807,10059.053609419,2012,12
2013-01-04,13435.21,3101.66,405.182575477907,365.470619392325,9786.96322962204,20401.9349447159,4873.99547883807,10161.3375321773,2013,1
2013-01-07,13384.29,3098.81,407.099399621152,366.867386907247,9771.17906744435,20497.5187703413,4858.60798174401,10141.3264436255,2013,1
2013-01-08,13328.85,3091.81,405.747200308488,365.698388470252,9718.46203242899,20284.1708139349,4847.26564032803,10066.0928936732,2013,1
2013-01-09,13390.51,3105.81,405.738194667523,365.457757789913,9770.65910474541,20361.2099073985,4856.11087887973,10085.2623053611,2013,1
2013-01-10,13471.22,3121.76,406.647758315924,366.970512614494,9863.73629926608,20580.6524620906,4913.64577251739,10228.318560586,2013,1
2013-01-11,13488.43,3125.64,399.515734603256,360.865757127228,9874.15317117231,20642.9930963287,4944.92034264672,10294.7855789502,2013,1
2013-01-14,13507.32,3117.5,414.491879723429,371.722077504423,9818.9213085765,20511.4379873001,4962.39645643476,10343.6776533248,2013,1
2013-01-15,13534.89,3110.78,417.783500177037,374.301042907265,9826.84615508187,20521.4213426291,4918.58562477552,10211.2649825066,2013,1
2013-01-16,13511.23,3117.54,414.59009009009,371.540974903475,9769.96334651153,20429.3419978552,4928.22591362126,10220.7707641196,2013,1
2013-01-17,13596.02,3136,410.688567843239,367.596866051032,9806.2844806908,20544.6709842488,5007.36906863532,10345.3966725512,2013,1
2013-01-18,13649.7,3134.71,417.59541124984,372.807053674862,9764.56495525799,20540.267817478,4982.66126884357,10257.0580088425,2013,1
2013-01-22,13712.21,3143.18,417.534568139431,372.232780243103,9785.99369684687,20521.8947468445,4983.0303030303,10251.361971362,2013,1
